cid,community_name,county,initial_fhbm_date,initial_firm_date,current_map_date,regular_emergency_program_date,is_tribal,fips,duns,is_csc,csc_level,crs_member,crs_community_number,crs_entry_date,current_effective_date,current_class,discount_sfha,discount_non_sfha,status,nfip_standing,community_assistance_visit,community_assistance_call,current_nfip_ordinance,nfip_ordinance_adoption,nfip_administrator_name
CID,community_name,County,"Init FHBM
Identified","Init FIRM
Identified","Curr Eff
Map Date",Reg-Emer Date,Tribal,FIPS,DUNS,is_csc,csc_level,CRS Member,CRS Community Number,CRS Entry Date,Current Effective Date,Current Class,% Discount for SFHA,% Discount for Non SFHA,"Status (C=Current, R=Rescinded)",A member of good standing with the NFIP?,Date of last Community Assistance Visit (CAV),Date of last Community Assistance Call (CAC),Current NFIP ordinance name ,Current NFIP ordinance adoption date,Current local NFIP administrator name
360324,"ADAMS, TOWN OF",JEFFERSON COUNTY,05/07/76,06/05/85,06/05/85(M),06/05/85,No,,,,,No,,,,,,,,,,,,,
360325,"ADAMS, VILLAGE OF",JEFFERSON COUNTY,11/28/75,06/19/85,06/19/85(M),06/19/85,No,,,,,No,,,,,,,,,,,,,
360761#,"ADDISON, TOWN OF",STEUBEN COUNTY,09/06/74,12/18/84,12/18/84,12/18/84,No,,,,,No,,,,,,,,,,,,,
360762#,"ADDISON, VILLAGE OF",STEUBEN COUNTY,07/23/73,06/15/81,06/15/81,06/15/81,No,,,,,No,,,,,,,,,,,,,
361084#,"AFTON, TOWN OF",CHENANGO COUNTY,01/17/75,10/15/81,11/26/10,10/15/81,No,,,,,No,,,,,,,,,,,,,
360979#,"AFTON, VILLAGE OF",CHENANGO COUNTY,06/07/74,10/15/81,11/26/10,10/15/81,No,,,,,No,,,,,,,,,,,,,
360140#,"AIRMONT, VILLAGE OF",ROCKLAND COUNTY,,03/03/14,03/03/14,12/01/14,No,,,,,No,,,,,,,,,,,,,
361553B,"AKRON, VILLAGE OF",ERIE COUNTY,05/31/74,11/19/80,06/07/19,11/19/80,No,,,,,No,,,,,,,,,,,,,
361067,"ALABAMA, TOWN OF",GENESEE COUNTY,05/03/74,11/18/83,11/18/83(M),11/18/83,No,,,,,No,,,,,,,,,,,,,
360001A,"ALBANY, CITY OF",ALBANY COUNTY,05/03/74,04/15/80,03/16/15,04/15/80,No,,,Yes,Bronze Certified,No,,,,,,,,,,,,,
361252#,"ALBION, TOWN OF",ORLEANS COUNTY,10/25/74,08/08/80,08/08/80(M),08/08/80,No,,,,,No,,,,,,,,,,,,,
361577#,"ALBION, TOWN OF",OSWEGO COUNTY,10/29/76,04/15/86,06/18/13,04/15/86,No,,,,,No,,,,,,,,,,,,,
360641,"ALBION, VILLAGE OF",ORLEANS COUNTY,05/24/74,11/30/79,11/30/79(M),11/30/79,No,,,,,No,,,,,,,,,,,,,
360225B,"ALDEN, TOWN OF",ERIE COUNTY,05/31/74,06/01/81,06/07/19,06/01/81,No,,,,,No,,,,,,,,,,,,,
360224B,"ALDEN, VILLAGE OF",ERIE COUNTY,05/17/74,01/06/84,06/07/19,01/06/84,No,,,,,No,,,,,,,,,,,,,
361496#,"ALEXANDER, VILLAGE OF",GENESEE COUNTY,11/22/74,01/20/84,05/04/87,01/20/84,No,,,,,No,,,,,,,,,,,,,
360277#,"ALEXANDER, TOWN OF",GENESEE COUNTY,03/05/75,11/18/83,05/04/87,11/18/83,No,,,,,No,,,,,,,,,,,,,
360327#,"ALEXANDRIA BAY, VILLAGE OF",JEFFERSON COUNTY,02/22/74,04/03/78,04/03/78,04/03/78,No,,,,,No,,,,,,,,,,,,,
360326,"ALEXANDRIA, TOWN OF",JEFFERSON COUNTY,05/31/74,10/15/85,10/15/85(M),10/15/85,No,,,,,No,,,,,,,,,,,,,
360019,"ALFRED, TOWN OF",ALLEGANY COUNTY,05/17/74,06/18/76,10/07/83(M),10/07/83,No,,,,,No,,,,,,,,,,,,,
360018#,"ALFRED, VILLAGE OF",ALLEGANY COUNTY,08/02/74,06/18/76,02/15/80,02/15/80,No,,,,,No,,,,,,,,,,,,,
360061#,"ALLEGANY, TOWN OF",CATTARAUGUS COUNTY,07/26/74,11/15/78,11/15/78,11/15/78,No,,,,,No,,,,,,,,,,,,,
360967#,"ALLEGANY, VILLAGE OF",CATTARAUGUS COUNTY,11/09/73,04/17/78,12/17/91,04/17/78,No,,,,,No,,,,,,,,,,,,,
361361#,"ALLEN, TOWN OF",ALLEGANY COUNTY,01/31/75,07/16/82,07/16/82(M),07/16/82,No,,,,,No,,,,,,,,,,,,,
360980,"ALMA, TOWN OF",ALLEGANY COUNTY,12/13/74,10/07/83,10/07/83(M),10/07/83,No,,,,,No,,,,,,,,,,,,,
360968#,"ALMOND, TOWN OF",ALLEGANY COUNTY,04/12/74,03/04/80,03/04/80,03/04/80,No,,,,,No,,,,,,,,,,,,,
360021#,"ALMOND, VILLAGE OF",ALLEGANY COUNTY,12/28/73,02/15/80,02/15/80,02/15/80,No,,,,,No,,,,,,,,,,,,,
360002A,"ALTAMONT, VILLAGE OF",ALBANY COUNTY,04/12/74,08/15/83,03/16/15,08/15/83,No,,,,,No,,,,,,,,,,,,,
360646#,"ALTMAR, VILLAGE OF",OSWEGO COUNTY,11/15/74,02/05/86,06/18/13(M),02/05/86,No,,,,,No,,,,,,,,,,,,,
361379#,"ALTONA, TOWN OF",CLINTON COUNTY,01/03/75,02/01/85,09/28/07(M),02/01/85,No,,,,,No,,,,,,,,,,,,,
361260#,"AMBOY, TOWN OF",OSWEGO COUNTY,11/15/74,03/01/88,06/18/13,03/01/88,No,,,,,No,,,,,,,,,,,,,
361332#,"AMENIA, TOWN OF",DUTCHESS COUNTY,10/18/74,09/24/84,05/02/12,09/24/84,No,,,Yes,,No,,,,,,,,,,,,,
360439A,"AMES, VILLAGE OF",MONTGOMERY COUNTY,07/15/77,12/04/85,01/19/18(M),12/04/85,No,,,,,No,,,,,,,,,,,,,
360226B,"AMHERST, TOWN OF",ERIE COUNTY,03/08/74,12/18/84,06/07/19,12/18/84,No,,,Yes,,Yes,360226,10/1/1995,10/1/2015,8,10,5,C,,,,,,
361093#,"AMITY, TOWN OF",ALLEGANY COUNTY,11/08/74,12/18/84,12/18/84,12/18/84,No,,,,,No,,,,,,,,,,,,,
360788#,"AMITYVILLE, VILLAGE OF",SUFFOLK COUNTY,04/25/75,09/01/77,09/25/09,09/01/77,No,,,Yes,,No,,,,,,,,,,,,,
360440A,"AMSTERDAM, CITY OF",MONTGOMERY COUNTY,03/01/74,07/16/84,01/19/18,07/16/84,No,,,Yes,,No,,,,,,,,,,,,,
360441A,"AMSTERDAM, TOWN OF",MONTGOMERY COUNTY,07/19/74,12/01/87,01/19/18,12/01/87,No,,,,,No,,,,,,,,,,,,,
361312,"ANCRAM, TOWN OF",COLUMBIA COUNTY,11/15/74,06/05/85,06/05/85(M),06/05/85,No,,,Yes,,No,,,,,,,,,,,,,
360188B,"ANDES, TOWN OF",DELAWARE COUNTY,08/16/74,05/01/85,06/16/16,05/01/85,No,,,,,No,,,,,,,,,,,,,
360189,"ANDES, VILLAGE OF",DELAWARE COUNTY,08/16/74,04/01/86,04/01/86(L),04/01/86,No,,,,,No,,,,,,,,,,,,,
361094#,"ANDOVER, TOWN OF",ALLEGANY COUNTY,12/27/74,10/07/83,03/02/98,10/07/83,No,,,,,No,,,,,,,,,,,,,
360022#,"ANDOVER, VILLAGE OF",ALLEGANY COUNTY,06/14/74,04/02/79,04/02/79,04/02/79,No,,,,,No,,,,,,,,,,,,,
361095#,"ANGELICA, TOWN OF",ALLEGANY COUNTY,12/06/74,12/31/82,12/31/82(M),12/31/82,No,,,,,No,,,,,,,,,,,,,
360023#,"ANGELICA, VILLAGE OF",ALLEGANY COUNTY,12/06/74,02/01/84,02/01/84,02/01/84,No,,,,,No,,,,,,,,,,,,,
360982B,"ANGOLA, VILLAGE OF",ERIE COUNTY,12/06/74,05/18/79,06/07/19,05/18/79,No,,,,,No,,,,,,,,,,,,,
360516#,"ANNSVILLE, TOWN OF",ONEIDA COUNTY,06/28/74,04/01/88,09/27/13,04/05/88,No,,,,,No,,,,,,,,,,,,,
361560,"ANTWERP, TOWN OF",JEFFERSON COUNTY,01/31/75,04/15/86,04/15/86(M),04/15/86,No,,,,,No,,,,,,,,,,,,,
361554,"ANTWERP, VILLAGE OF",JEFFERSON COUNTY,05/31/74,,(NSFHA),12/19/84,No,,,,,No,,,,,,,,,,,,,
360939#,"ARCADE, TOWN OF",WYOMING COUNTY,07/26/74,12/23/83,03/03/92,12/23/83,No,,,,,No,,,,,,,,,,,,,
361555#,"ARCADE, VILLAGE OF",WYOMING COUNTY,05/31/74,09/10/82,03/03/92,09/10/82,No,,,,,No,,,,,,,,,,,,,
360972#,"ARCADIA, TOWN OF",WAYNE COUNTY,04/12/74,11/02/77,11/02/77,11/02/77,No,,,,,No,,,,,,,,,,,,,
360902#,"ARDSLEY, VILLAGE OF",WESTCHESTER COUNTY,04/13/73,09/29/78,09/28/07,09/29/78,No,,,Yes,,No,,,,,,,,,,,,,
361222#,"ARGYLE, TOWN OF",WASHINGTON COUNTY,10/18/74,08/24/79,08/24/79(M),08/24/79,No,,,,,No,,,,,,,,,,,,,
361559,"ARGYLE, VILLAGE OF",WASHINGTON COUNTY,07/18/75,05/18/79,05/18/79(M),05/18/79,No,,,,,No,,,,,,,,,,,,,
361402,"ARIETTA, TOWN OF",HAMILTON COUNTY,02/14/75,,(NSFHA),02/14/85,No,,,,,No,,,,,,,,,,,,,
360763#,"ARKPORT, VILLAGE OF",STEUBEN COUNTY,05/15/74,03/04/80,03/04/80,03/04/80,No,,,,,No,,,,,,,,,,,,,
361105,"ARKWRIGHT, TOWN OF",CHAUTAUQUA COUNTY,10/18/74,04/08/83,04/08/83(M),04/08/83,No,,,,,No,,,,,,,,,,,,,
365333#,"ASHAROKEN, VILLAGE OF",SUFFOLK COUNTY,,08/20/71,09/25/09,08/20/71,No,,,,,No,,,,,,,,,,,,,
360062,"ASHFORD, TOWNSHIP OF",CATTARAUGUS COUNTY,09/13/74,07/02/76,05/25/84,05/25/84,No,,,,,No,,,,,,,,,,,,,
360147#,"ASHLAND, TOWN OF",CHEMUNG COUNTY,11/09/73,01/16/80,01/16/80,01/16/80,No,,,,,No,,,,,,,,,,,,,
360284#,"ASHLAND, TOWN OF",GREENE COUNTY,11/01/74,04/10/81,05/16/08,04/10/81,No,,,,,Yes,360147,10/1/1991,5/1/2008,9,5,5,C,,,,,,
361117#,"ATHENS, TOWN OF",GREENE COUNTY,08/13/76,09/03/82,05/16/08,09/03/82,No,,,,,No,,,,,,,,,,,,,
360285#,"ATHENS, VILLAGE OF",GREENE COUNTY,10/29/76,09/06/89,05/16/08,09/06/89,No,,,,,No,,,,,,,,,,,,,
360458#,"ATLANTIC BEACH, VILLAGE OF (USE TOWN OF HEMPSTEAD (CID 360467) FIRM, PANELS 284, 303, 304.)",NASSAU COUNTY,05/10/74,09/11/09,09/11/09,03/09/04,No,,,,,No,,,,,,,,,,,,,
360940#,"ATTICA, TOWN OF",WYOMING COUNTY,07/26/74,07/23/76,04/30/86,12/23/83,No,,,,,No,,,,,,,,,,,,,
360985#,"ATTICA, VILLAGE OF",GENESEE COUNTY/WYOMING COUNTY,05/24/74,10/07/83,07/03/86,10/07/83,No,,,,,No,,,,,,,,,,,,,
360102#,"AUBURN, CITY OF",CAYUGA COUNTY,11/28/73,03/02/81,08/02/07,03/02/81,No,,,Yes,,No,,,,,,,,,,,,,
360517#,"AUGUSTA, TOWN OF",ONEIDA COUNTY,09/13/74,05/01/85,09/27/13(M),05/01/85,No,,,,,No,,,,,,,,,,,,,
360103#,"AURELIUS, TOWN OF",CAYUGA COUNTY,02/01/74,11/04/83,08/02/07,11/04/83,No,,,,,No,,,,,,,,,,,,,
360227B,"AURORA, TOWN OF",ERIE COUNTY,04/12/74,04/16/79,06/07/19,04/16/79,No,,,,,No,,,,,,,,,,,,,
360101#,"AURORA, VILLAGE OF",CAYUGA COUNTY,04/25/75,04/15/80,08/02/07,04/15/80,No,,,,,No,,,,,,,,,,,,,
360165#,"AUSABLE, TOWN OF",CLINTON COUNTY,05/13/77,05/15/85,09/28/07(M),05/15/85,No,,,,,No,,,,,,,,,,,,,
361385,"AUSTERLITZ, TOWN OF",COLUMBIA COUNTY,12/27/74,06/05/85,06/05/85(M),06/05/85,No,,,Yes,,No,,,,,,,,,,,,,
360518#,"AVA, TOWN OF",ONEIDA COUNTY,06/28/74,02/01/85,09/27/13(M),02/01/85,No,,,,,No,,,,,,,,,,,,,
360764#,"AVOCA, TOWN OF",STEUBEN COUNTY,04/14/78,08/15/83,02/05/92,08/15/83,No,,,,,No,,,,,,,,,,,,,
360765#,"AVOCA, VILLAGE OF",STEUBEN COUNTY,04/12/74,05/16/83,05/16/83,05/16/83,No,,,,,No,,,,,,,,,,,,,
360380#,"AVON, TOWN OF",LIVINGSTON COUNTY,05/24/74,08/15/78,08/15/78,08/15/78,No,,,,,No,,,,,,,,,,,,,
360379#,"AVON, VILLAGE OF",LIVINGSTON COUNTY,05/10/74,08/01/78,08/01/78,08/01/78,No,,,,,No,,,,,,,,,,,,,
360791#,"BABYLON, VILLAGE OF",SUFFOLK COUNTY,12/07/73,08/01/77,09/25/09,08/01/77,No,,,,,No,,,,,,,,,,,,,
360790#,"BABYLON, TOWN OF",SUFFOLK COUNTY,07/26/74,07/16/79,09/25/09,07/16/79,No,,,Yes,,Yes,360790,10/1/1992,10/1/1993,10,0,0,"R
",,,,,,
361085#,"BAINBRIDGE, TOWN OF",CHENANGO COUNTY,01/10/75,11/18/83,11/26/10,11/18/83,No,,,,,No,,,,,,,,,,,,,
360158#,"BAINBRIDGE, VILLAGE OF",CHENANGO COUNTY,05/03/74,10/05/84,11/26/10,10/05/84,No,,,,,No,,,,,,,,,,,,,
361054,"BALDWIN, TOWN OF",CHEMUNG COUNTY,05/31/74,07/23/82,07/23/82(M),07/23/82,No,,,,,No,,,,,,,,,,,,,
360569A,"BALDWINSVILLE, VILLAGE OF",ONONDAGA COUNTY,03/15/74,08/16/82,11/04/16,08/16/82,No,,,Yes,,No,,,,,,,,,,,,,
360710#,"BALLSTON SPA, VILLAGE OF",SARATOGA COUNTY,05/31/74,06/01/84,08/16/95,06/01/84,No,,,,,No,,,,,,,,,,,,,
360711#,"BALLSTON, TOWN OF",SARATOGA COUNTY,08/02/74,06/01/84,08/16/95,06/01/84,No,,,,,No,,,,,,,,,,,,,
