360324|[3604500210]|[36045]|1976-05-07|1985-06-05|1985-06-05|1985-06-05|no|||||no||||||||||||||19
360325|[3600199]|[36045]|1975-11-28|1985-06-19|1985-06-19|1985-06-19|no|||||no||||||||||||||19
360761#|[3610100287]|[36101]|1974-09-06|1984-12-18|1984-12-18|1984-12-18|no|||||no||||||||||||||1
360762#|[3600276]|[36101]|1973-07-23|1981-06-15|1981-06-15|1981-06-15|no|||||no||||||||||||||1
361084#|[3601700353]|[36017]|1975-01-17|1981-10-15|2010-11-26|1981-10-15|no|||||no||||||||||||||54
360979#|[3600342]|[36017]|1974-06-07|1981-10-15|2010-11-26|1981-10-15|no|||||no||||||||||||||54
360140#|[3600408]|[36087]||2014-03-03|2014-03-03|2014-12-01|no|||||no||||||||||||||57
361553B|[3600441]|[36029]|1974-05-31|1980-11-19|2019-06-07|1980-11-19|no|||||no||||||||||||||29
361067|[3603700474]|[36037]|1974-05-03|1983-11-18|1983-11-18|1983-11-18|no|||||no||||||||||||||44
360001A|[3600101000]|[36001]|1974-05-03|1980-04-15|2015-03-16|1980-04-15|no|||yes|Bronze Certified|no||||||||||||||14
361252#|[3607501055]|[36073]|1974-10-25|1980-08-08|1980-08-08|1980-08-08|no|||||no||||||||||||||33
361577#|[3607501055]|[36075]|1976-10-29|1986-04-15|2013-06-18|1986-04-15|no|||||no||||||||||||||4
360641|[3601033]|[36073]|1974-05-24|1979-11-30|1979-11-30|1979-11-30|no|||||no||||||||||||||33
360225B|[3602901099]|[36029]|1974-05-31|1981-06-01|2019-06-07|1981-06-01|no|||||no||||||||||||||29
360224B|[3601088]|[36029]|1974-05-17|1984-01-06|2019-06-07|1984-01-06|no|||||no||||||||||||||29
361496#|[3601154]|[36037]|1974-11-22|1984-01-20|1987-05-04|1984-01-20|no|||||no||||||||||||||44
360277#|[3603701165]|[36037]|1975-03-05|1983-11-18|1987-05-04|1983-11-18|no|||||no||||||||||||||44
360327#|[3601187]|[36045]|1974-02-22|1978-04-03|1978-04-03|1978-04-03|no|||||no||||||||||||||19
360326|[3604501176]|[36045]|1974-05-31|1985-10-15|1985-10-15|1985-10-15|no|||||no||||||||||||||19
360019|[3600301209]|[36003]|1974-05-17|1976-06-18|1983-10-07|1983-10-07|no|||||no||||||||||||||2
360018#|[3601198]|[36003]|1974-08-02|1976-06-18|1980-02-15|1980-02-15|no|||||no||||||||||||||2
360061#|[3600901308]|[36009]|1974-07-26|1978-11-15|1978-11-15|1978-11-15|no|||||no||||||||||||||35
360967#|[3601286]|[36009]|1973-11-09|1978-04-17|1991-12-17|1978-04-17|no|||||no||||||||||||||35
361361#|[3600301319]|[36003]|1975-01-31|1982-07-16|1982-07-16|1982-07-16|no|||||no||||||||||||||2
360980|[3600301429]|[36003]|1974-12-13|1983-10-07|1983-10-07|1983-10-07|no|||||no||||||||||||||2
360968#|[3600301451]|[36003]|1974-04-12|1980-03-04|1980-03-04|1980-03-04|no|||||no||||||||||||||2
360021#|[3601440]|[36003]|1973-12-28|1980-02-15|1980-02-15|1980-02-15|no|||||no||||||||||||||2
360002A|[3601517]|[36001]|1974-04-12|1983-08-15|2015-03-16|1983-08-15|no|||||no||||||||||||||14
360646#|[3601550]|[36075]|1974-11-15|1986-02-05|2013-06-18|1986-02-05|no|||||no||||||||||||||4
