county_geo,geoid,name
36001,3600101000,"ALBANY, CITY OF"
36001,36001,ALBANY COUNTY
36001,3601000,"ALBANY, VILLAGE OF"
36001,3601517,"ALTAMONT, VILLAGE OF"
36001,3600106211,"BERNE, TOWN OF"
36001,3600106354,"BETHLEHEM, TOWN OF"
36001,3600116694,"COEYMANS, TOWN OF"
36001,3600116749,"COHOES, CITY OF"
36001,3616749,"COHOES, VILLAGE OF"
36001,3600117343,"COLONIE, TOWN OF"
36001,3617332,"COLONIE, VILLAGE OF"
36001,3600130532,"GREEN ISLAND, TOWN OF"
36001,3630521,"GREEN ISLAND, VILLAGE OF"
36001,3630609,"GREENVILLE, VILLAGE OF"
36001,3600131104,"GUILDERLAND, TOWN OF"
36001,3600140002,"KNOX, TOWN OF"
36001,3646536,"MENANDS, VILLAGE OF"
36001,3600150672,"NEW SCOTLAND, TOWN OF"
36001,3659831,"PRESTON-POTTER HOLLOW, VILLAGE OF"
36001,3660675,"RAVENA, VILLAGE OF"
36001,3661148,"RENSSELAER, VILLAGE OF"
36001,3600161181,"RENSSELAERVILLE, TOWN OF"
36001,3663924,"ROTTERDAM, VILLAGE OF"
36001,3665508,"SCHENECTADY, VILLAGE OF"
36001,3675484,"TROY, VILLAGE OF"
36001,3677684,"VOORHEESVILLE, VILLAGE OF"
36001,3600178674,"WATERVLIET, CITY OF"
36001,3678674,"WATERVLIET, VILLAGE OF"
36001,3600179851,"WESTERLO, TOWN OF"
36001,3680423,"WESTMERE, VILLAGE OF"
36003,3600301209,"ALFRED, TOWN OF"
36003,3601198,"ALFRED, VILLAGE OF"
36003,36003,ALLEGANY COUNTY
36003,3600301319,"ALLEN, TOWN OF"
36003,3600301429,"ALMA, TOWN OF"
36003,3600301451,"ALMOND, TOWN OF"
36003,3601440,"ALMOND, VILLAGE OF"
36003,3600302011,"AMITY, TOWN OF"
36003,3600302154,"ANDOVER, TOWN OF"
36003,3602143,"ANDOVER, VILLAGE OF"
36003,3600302187,"ANGELICA, TOWN OF"
36003,3602176,"ANGELICA, VILLAGE OF"
36003,3600305573,"BELFAST, TOWN OF"
36003,3605562,"BELFAST, VILLAGE OF"
36003,3605815,"BELMONT, VILLAGE OF"
36003,3600306717,"BIRDSALL, TOWN OF"
36003,3600307201,"BOLIVAR, TOWN OF"
36003,3607190,"BOLIVAR, VILLAGE OF"
36003,3600311253,"BURNS, TOWN OF"
36003,3612177,"CANASERAGA, VILLAGE OF"
36003,3600312243,"CANEADEA, TOWN OF"
