plan,county
28,36085
27,36023
29,36029
30,36079
31,36057
33,36073
34,36065
35,36009
36,36123
37,36107
38,36055
39,36095
40,36007
54,36017
55,36067
56,36035
57,36087
1,36101
2,36003
3,36091
4,36075
5,36111
6,36097
8,36031
9,36103
10,36041
11,36027
12,36077
13,36109
14,36001
19,36045
63,36
58,36051
60,36071
61,36093
62,36005
32,36105
15,36011
16,36039
17,36043
43,36081
18,36113
20,36019
21,36059
22,36053
23,36115
24,36119
25,36049
26,36069
41,36083
42,36099
44,36037
45,36117
46,36063
47,36047
48,36015
49,36121
50,36061
51,36021
52,36013
53,36033
7,36089
59,36025
64,36025
